port_6,port_7,port_8,port_9,port_10,port_11,port_12,port_13,port_14,port_15,port_16,port_17,port_18,port_19,port_20,port_21,port_22,port_23,port_24,port_25,port_26,port_27,port_28,port_29,port_31,port_32,time,lap_#,event_label
-26.4647924528,-27.3241886792,-27.560509434,-25.0999603774,-21.2950509434,-23.501245283,-24.4453792453,-23.6451509434,-24.0946037736,-24.4351584906,-25.1944554717,-21.7232037736,-24.5991830189,-25.1286283019,-25.8942018868,-25.4455396226,-25.8397169811,-25.1741283019,-25.2672169811,-23.2710075472,-22.9756603774,-22.5012698113,-21.8921679245,-21.1883226415,-20.7238056604,-20.6443811321,745.81,lap_1,event_1
-26.1227924528,-27.3241886792,-27.391509434,-24.5637603774,-22.1934509434,-24.356245283,-24.6251792453,-24.3321509434,-24.8105037736,-24.9846584906,-24.8394554717,-21.3912037736,-23.7475830189,-24.0581283019,-25.3715018868,-25.6215396226,-24.3685169811,-24.4565283019,-25.2672169811,-23.6163075472,-21.7921603774,-21.5320698113,-22.2309679245,-22.3568226415,-21.5625056604,-21.6427811321,746.13,lap_1,event_1
-24.4150924528,-26.2062886792,-27.051509434,-24.9212603774,-21.2950509434,-23.672245283,-23.9059792453,-23.1301509434,-23.3788037736,-23.1530584906,-23.7744554717,-19.4002037736,-22.0443830189,-22.4524283019,-23.4550018868,-23.3295396226,-22.8973169811,-23.0213283019,-22.9082169811,-20.3354075472,-19.4255603774,-19.5935698113,-20.3676679245,-20.3536226415,-20.3883056604,-20.4779811321,746.45,lap_1,event_1
-25.0981924528,-26.5788886792,-26.542509434,-25.6362603774,-22.1934509434,-24.698245283,-24.9846792453,-24.5031509434,-24.8105037736,-25.3509584906,-25.1944554717,-20.8932037736,-23.5772830189,-23.3445283019,-24.6746018868,-24.0345396226,-24.0007169811,-23.7389283019,-23.8155169811,-21.5441075472,-20.7779603774,-20.2396698113,-20.1982679245,-20.5206226415,-19.7173056604,-19.6459811321,746.77,lap_1,event_1
-24.4150924528,-25.4610886792,-25.693509434,-23.3125603774,-20.5763509434,-22.988245283,-23.0070792453,-22.6151509434,-22.6629037736,-23.1530584906,-23.5974554717,-20.7272037736,-23.2365830189,-23.1660283019,-24.1519018868,-23.3295396226,-23.6329169811,-23.0213283019,-22.9082169811,-20.5080075472,-19.9326603774,-19.9165698113,-19.8595679245,-19.5190226415,-19.7173056604,-19.6459811321,747.09,lap_1,event_1
-21.3412924528,-22.2939886792,-22.807109434,-21.5251403774,-18.5999509434,-21.107245283,-20.6693692453,-20.7271509434,-21.0523037736,-20.7711184906,-21.4674554717,-18.9027037736,-21.5333830189,-21.0251283019,-22.5839018868,-22.6235396226,-22.1617169811,-22.1243283019,-22.3639169811,-19.8173075472,-19.0874603774,-18.7857698113,-19.0125679245,-18.8513226415,-18.0399056604,-18.1482811321,747.41,lap_1,event_1
-22.5366924528,-23.0391886792,-23.486509434,-22.0613703774,-19.1389509434,-20.936245283,-22.2879792453,-21.5851509434,-21.7681037736,-22.0541384906,-22.3544554717,-19.0686037736,-21.5333830189,-21.3819283019,-22.0612018868,-22.0945396226,-21.6100169811,-21.0479283019,-21.6381169811,-19.8173075472,-19.4255603774,-18.9473698113,-18.8431679245,-18.8513226415,-18.3754056604,-18.4810811321,747.73,lap_1,event_1
-26.4647924528,-27.1378886792,-27.730509434,-25.9936603774,-22.0137509434,-24.869245283,-25.3442792453,-25.1901509434,-25.1686037736,-25.5340584906,-25.9044554717,-22.0542037736,-24.7695830189,-24.2365283019,-25.7199018868,-25.6215396226,-25.4719169811,-25.1741283019,-25.6301169811,-23.4437075472,-22.9756603774,-22.6631698113,-23.2473679245,-23.1914226415,-21.8980056604,-22.4748811321,748.05,lap_1,event_1
-27.1477924528,-28.0691886792,-27.900509434,-25.9936603774,-22.3731509434,-24.869245283,-25.5240792453,-24.3321509434,-24.6315037736,-25.3509584906,-25.0174554717,-21.5572037736,-24.9398830189,-24.5934283019,-25.5457018868,-24.9165396226,-24.7363169811,-24.2771283019,-24.5413169811,-22.9256075472,-22.8066603774,-22.0166698113,-22.4003679245,-21.8560226415,-21.3947056604,-21.3099811321,748.37,lap_1,event_1
-24.7566924528,-25.8336886792,-26.542509434,-24.9212603774,-21.8341509434,-24.014245283,-24.2655792453,-23.1301509434,-23.9157037736,-24.2520584906,-24.4844554717,-20.2302037736,-23.5772830189,-22.8092283019,-23.8035018868,-23.8585396226,-22.7134169811,-22.4831283019,-23.4526169811,-22.0622075472,-20.4398603774,-20.7243698113,-21.0452679245,-21.3552226415,-20.5560056604,-20.1451811321,748.69,lap_1,event_1
